image_name,prompt_a,prompt_b,prompt_c,negative_prompt,guidance_scale,beta,log_weight,Adapter_A,Adapter_B,StrengthA,StrengthB,clip_score,laion_score
11.png,"Japanese animation girl eating a hamburger, voxel style","Japanese animation girl eating a hamburger, sexy style","A japanese animation girl eating a hamburger, voxel and sexy style","blurry, low_quality, distorted",7.5,0.5,-4098.703125,,,,,38.903263092041016,7.194053649902344
12.png,"Japanese animation girl eating a hamburger, voxel style","Japanese animation girl eating a hamburger, sexy style","A japanese animation girl eating a hamburger, voxel and sexy style","blurry, low_quality, distorted",7.5,0.5,-4697.5625,,,,,41.470088958740234,7.738619804382324
13.png,"Japanese animation girl eating a hamburger, voxel style","Japanese animation girl eating a hamburger, sexy style","A japanese animation girl eating a hamburger, voxel and sexy style","blurry, low_quality, distorted",7.5,0.5,-4317.171875,,,,,38.52775192260742,7.452245712280273
14.png,"Japanese animation girl eating a hamburger, voxel style","Japanese animation girl eating a hamburger, sexy style","A japanese animation girl eating a hamburger, voxel and sexy style","blurry, low_quality, distorted",7.5,0.5,-4729.625,,,,,40.895992279052734,7.440567493438721
15.png,"Japanese animation girl eating a hamburger, voxel style","Japanese animation girl eating a hamburger, sexy style","A japanese animation girl eating a hamburger, voxel and sexy style","blurry, low_quality, distorted",7.5,0.5,-4018.640625,,,,,41.29899597167969,7.8320441246032715
16.png,"Japanese animation girl eating a hamburger, voxel style","Japanese animation girl eating a hamburger, sexy style","A japanese animation girl eating a hamburger, voxel and sexy style","blurry, low_quality, distorted",7.5,0.5,-3804.5,,,,,40.48537063598633,6.729781150817871
17.png,"Japanese animation girl eating a hamburger, voxel style","Japanese animation girl eating a hamburger, sexy style","A japanese animation girl eating a hamburger, voxel and sexy style","blurry, low_quality, distorted",7.5,0.5,-4753.328125,,,,,34.87234878540039,8.625274658203125
18.png,"Japanese animation girl eating a hamburger, voxel style","Japanese animation girl eating a hamburger, sexy style","A japanese animation girl eating a hamburger, voxel and sexy style","blurry, low_quality, distorted",7.5,0.5,-4431.0625,,,,,35.81809997558594,7.539876461029053
19.png,"Japanese animation girl eating a hamburger, voxel style","Japanese animation girl eating a hamburger, sexy style","A japanese animation girl eating a hamburger, voxel and sexy style","blurry, low_quality, distorted",7.5,0.5,-4393.203125,,,,,40.37626266479492,7.56045389175415
20.png,"Japanese animation girl eating a hamburger, voxel style","Japanese animation girl eating a hamburger, sexy style","A japanese animation girl eating a hamburger, voxel and sexy style","blurry, low_quality, distorted",7.5,0.5,-4080.515625,,,,,38.90228271484375,7.416177272796631
21.png,"Japanese animation girl eating a hamburger, voxel style","Japanese animation girl eating a hamburger, sexy style","A japanese animation girl eating a hamburger, voxel and sexy style","blurry, low_quality, distorted",7.5,0.5,-4187.53125,,,,,36.123374938964844,7.634446620941162
22.png,"Japanese animation girl eating a hamburger, voxel style","Japanese animation girl eating a hamburger, sexy style","A japanese animation girl eating a hamburger, voxel and sexy style","blurry, low_quality, distorted",7.5,0.5,-5027.234375,,,,,39.66575241088867,7.3450140953063965
23.png,"Japanese animation girl eating a hamburger, voxel style","Japanese animation girl eating a hamburger, sexy style","A japanese animation girl eating a hamburger, voxel and sexy style","blurry, low_quality, distorted",7.5,0.5,-4458.546875,,,,,40.49814224243164,7.448096752166748
24.png,"Japanese animation girl eating a hamburger, voxel style","Japanese animation girl eating a hamburger, sexy style","A japanese animation girl eating a hamburger, voxel and sexy style","blurry, low_quality, distorted",7.5,0.5,-3462.0,,,,,37.359375,7.6819610595703125
25.png,"Japanese animation girl eating a hamburger, voxel style","Japanese animation girl eating a hamburger, sexy style","A japanese animation girl eating a hamburger, voxel and sexy style","blurry, low_quality, distorted",7.5,0.5,-4990.640625,,,,,41.20166778564453,7.1460652351379395
26.png,"Japanese animation girl eating a hamburger, voxel style","Japanese animation girl eating a hamburger, sexy style","A japanese animation girl eating a hamburger, voxel and sexy style","blurry, low_quality, distorted",7.5,0.5,-5244.96875,,,,,38.20502853393555,7.476490497589111
27.png,"Japanese animation girl eating a hamburger, voxel style","Japanese animation girl eating a hamburger, sexy style","A japanese animation girl eating a hamburger, voxel and sexy style","blurry, low_quality, distorted",7.5,0.5,-4009.953125,,,,,38.28774642944336,7.76042366027832
28.png,"Japanese animation girl eating a hamburger, voxel style","Japanese animation girl eating a hamburger, sexy style","A japanese animation girl eating a hamburger, voxel and sexy style","blurry, low_quality, distorted",7.5,0.5,-3730.8125,,,,,37.94123840332031,7.369239807128906
29.png,"Japanese animation girl eating a hamburger, voxel style","Japanese animation girl eating a hamburger, sexy style","A japanese animation girl eating a hamburger, voxel and sexy style","blurry, low_quality, distorted",7.5,0.5,-4262.171875,,,,,37.65381622314453,7.67638635635376
30.png,"Japanese animation girl eating a hamburger, voxel style","Japanese animation girl eating a hamburger, sexy style","A japanese animation girl eating a hamburger, voxel and sexy style","blurry, low_quality, distorted",7.5,0.5,-4654.5,,,,,36.60523986816406,7.617813587188721
31.png,"A futuristic female cyborg standing in a neon-lit cyberpunk street, voxel style, made of small 3D cubes, blocky geometric structures, digital cubic joints, block-based armor plates, pixelated aesthetic, 8-bit digital world, masterpiece, 8k.","A futuristic female cyborg standing in a neon-lit cyberpunk street, sexy style, highly detailed skin texture, sleek organic robotic joints, form-fitting glowing armor, translucent clothing, attractive aesthetic, photorealistic, cinematic lighting, masterpiece, 8k.","A futuristic female cyborg standing in a neon-lit cyberpunk street, voxel art style, made of 3D blocks, combined with sexy style, highly detailed skin texture, sleek robotic joints, glowing armor, translucent clothing, masterpiece, 8k.","blurry, low_quality, distorted",7.5,0.8,-1511.671875,,,,,29.7756290435791,8.156930923461914
32.png,"A futuristic female cyborg standing in a neon-lit cyberpunk street, voxel style, made of small 3D cubes, blocky geometric structures, digital cubic joints, block-based armor plates, pixelated aesthetic, 8-bit digital world, masterpiece, 8k.","A futuristic female cyborg standing in a neon-lit cyberpunk street, sexy style, highly detailed skin texture, sleek organic robotic joints, form-fitting glowing armor, translucent clothing, attractive aesthetic, photorealistic, cinematic lighting, masterpiece, 8k.","A futuristic female cyborg standing in a neon-lit cyberpunk street, voxel art style, made of 3D blocks, combined with sexy style, highly detailed skin texture, sleek robotic joints, glowing armor, translucent clothing, masterpiece, 8k.","blurry, low_quality, distorted",7.5,0.8,-1114.3359375,,,,,31.02951431274414,7.728540897369385
33.png,"A futuristic female cyborg standing in a neon-lit cyberpunk street, voxel style, made of small 3D cubes, blocky geometric structures, digital cubic joints, block-based armor plates, pixelated aesthetic, 8-bit digital world, masterpiece, 8k.","A futuristic female cyborg standing in a neon-lit cyberpunk street, sexy style, highly detailed skin texture, sleek organic robotic joints, form-fitting glowing armor, translucent clothing, attractive aesthetic, photorealistic, cinematic lighting, masterpiece, 8k.","A futuristic female cyborg standing in a neon-lit cyberpunk street, voxel art style, made of 3D blocks, combined with sexy style, highly detailed skin texture, sleek robotic joints, glowing armor, translucent clothing, masterpiece, 8k.","blurry, low_quality, distorted",7.5,0.8,-1246.7578125,,,,,29.317087173461914,7.57915735244751
34.png,"A futuristic female cyborg standing in a neon-lit cyberpunk street, voxel style, made of small 3D cubes, blocky geometric structures, digital cubic joints, block-based armor plates, pixelated aesthetic, 8-bit digital world, masterpiece, 8k.","A futuristic female cyborg standing in a neon-lit cyberpunk street, sexy style, highly detailed skin texture, sleek organic robotic joints, form-fitting glowing armor, translucent clothing, attractive aesthetic, photorealistic, cinematic lighting, masterpiece, 8k.","A futuristic female cyborg standing in a neon-lit cyberpunk street, voxel art style, made of 3D blocks, combined with sexy style, highly detailed skin texture, sleek robotic joints, glowing armor, translucent clothing, masterpiece, 8k.","blurry, low_quality, distorted",7.5,0.8,-1271.078125,,,,,30.240589141845703,8.442020416259766
35.png,"A futuristic female cyborg standing in a neon-lit cyberpunk street, voxel style, made of small 3D cubes, blocky geometric structures, digital cubic joints, block-based armor plates, pixelated aesthetic, 8-bit digital world, masterpiece, 8k.","A futuristic female cyborg standing in a neon-lit cyberpunk street, sexy style, highly detailed skin texture, sleek organic robotic joints, form-fitting glowing armor, translucent clothing, attractive aesthetic, photorealistic, cinematic lighting, masterpiece, 8k.","A futuristic female cyborg standing in a neon-lit cyberpunk street, voxel art style, made of 3D blocks, combined with sexy style, highly detailed skin texture, sleek robotic joints, glowing armor, translucent clothing, masterpiece, 8k.","blurry, low_quality, distorted",7.5,0.8,-1403.953125,,,,,35.05723571777344,8.232908248901367
36.png,"A futuristic female cyborg standing in a neon-lit cyberpunk street, voxel style, made of small 3D cubes, blocky geometric structures, digital cubic joints, block-based armor plates, pixelated aesthetic, 8-bit digital world, masterpiece, 8k.","A futuristic female cyborg standing in a neon-lit cyberpunk street, sexy style, highly detailed skin texture, sleek organic robotic joints, form-fitting glowing armor, translucent clothing, attractive aesthetic, photorealistic, cinematic lighting, masterpiece, 8k.","A futuristic female cyborg standing in a neon-lit cyberpunk street, voxel art style, made of 3D blocks, combined with sexy style, highly detailed skin texture, sleek robotic joints, glowing armor, translucent clothing, masterpiece, 8k.","blurry, low_quality, distorted",7.5,0.8,-1655.4765625,,,,,30.053272247314453,7.572463512420654
35.png,"A futuristic female cyborg standing in a neon-lit cyberpunk street, voxel style, made of small 3D cubes, blocky geometric structures, digital cubic joints, block-based armor plates, pixelated aesthetic, 8-bit digital world, masterpiece, 8k.","A futuristic female cyborg standing in a neon-lit cyberpunk street, sexy style, highly detailed skin texture, sleek organic robotic joints, form-fitting glowing armor, translucent clothing, attractive aesthetic, photorealistic, cinematic lighting, masterpiece, 8k.","A futuristic female cyborg standing in a neon-lit cyberpunk street, voxel art style, made of 3D blocks, combined with sexy style, highly detailed skin texture, sleek robotic joints, glowing armor, translucent clothing, masterpiece, 8k.","blurry, low_quality, distorted",7.5,0.2,-1423.7109375,,,,,35.05723571777344,8.232908248901367
36.png,"A futuristic female cyborg standing in a neon-lit cyberpunk street, voxel style, made of small 3D cubes, blocky geometric structures, digital cubic joints, block-based armor plates, pixelated aesthetic, 8-bit digital world, masterpiece, 8k.","A futuristic female cyborg standing in a neon-lit cyberpunk street, sexy style, highly detailed skin texture, sleek organic robotic joints, form-fitting glowing armor, translucent clothing, attractive aesthetic, photorealistic, cinematic lighting, masterpiece, 8k.","A futuristic female cyborg standing in a neon-lit cyberpunk street, voxel art style, made of 3D blocks, combined with sexy style, highly detailed skin texture, sleek robotic joints, glowing armor, translucent clothing, masterpiece, 8k.","blurry, low_quality, distorted",7.5,0.2,-1191.7109375,,,,,30.053272247314453,7.572463512420654
37.png,"A futuristic female cyborg standing in a neon-lit cyberpunk street, voxel style, made of small 3D cubes, blocky geometric structures, digital cubic joints, block-based armor plates, pixelated aesthetic, 8-bit digital world, masterpiece, 8k.","A futuristic female cyborg standing in a neon-lit cyberpunk street, sexy style, highly detailed skin texture, sleek organic robotic joints, form-fitting glowing armor, translucent clothing, attractive aesthetic, photorealistic, cinematic lighting, masterpiece, 8k.","A futuristic female cyborg standing in a neon-lit cyberpunk street, voxel art style, made of 3D blocks, combined with sexy style, highly detailed skin texture, sleek robotic joints, glowing armor, translucent clothing, masterpiece, 8k.","blurry, low_quality, distorted",7.5,0.8,-1257.71875,,,,,30.61380386352539,8.103776931762695
38.png,"A futuristic female cyborg standing in a neon-lit cyberpunk street, voxel style, made of small 3D cubes, blocky geometric structures, digital cubic joints, block-based armor plates, pixelated aesthetic, 8-bit digital world, masterpiece, 8k.","A futuristic female cyborg standing in a neon-lit cyberpunk street, sexy style, highly detailed skin texture, sleek organic robotic joints, form-fitting glowing armor, translucent clothing, attractive aesthetic, photorealistic, cinematic lighting, masterpiece, 8k.","A futuristic female cyborg standing in a neon-lit cyberpunk street, voxel art style, made of 3D blocks, combined with sexy style, highly detailed skin texture, sleek robotic joints, glowing armor, translucent clothing, masterpiece, 8k.","blurry, low_quality, distorted",7.5,0.8,-1180.171875,,,,,28.69703483581543,7.72144079208374
39.png,"A futuristic female cyborg standing in a neon-lit cyberpunk street, voxel style, made of small 3D cubes, blocky geometric structures, digital cubic joints, block-based armor plates, pixelated aesthetic, 8-bit digital world, masterpiece, 8k.","A futuristic female cyborg standing in a neon-lit cyberpunk street, sexy style, highly detailed skin texture, sleek organic robotic joints, form-fitting glowing armor, translucent clothing, attractive aesthetic, photorealistic, cinematic lighting, masterpiece, 8k.","A futuristic female cyborg standing in a neon-lit cyberpunk street, voxel art style, made of 3D blocks, combined with sexy style, highly detailed skin texture, sleek robotic joints, glowing armor, translucent clothing, masterpiece, 8k.","blurry, low_quality, distorted",7.5,0.8,-1211.9921875,,,,,30.153236389160156,7.437236785888672
40.png,"A futuristic female cyborg standing in a neon-lit cyberpunk street, voxel style, made of small 3D cubes, blocky geometric structures, digital cubic joints, block-based armor plates, pixelated aesthetic, 8-bit digital world, masterpiece, 8k.","A futuristic female cyborg standing in a neon-lit cyberpunk street, sexy style, highly detailed skin texture, sleek organic robotic joints, form-fitting glowing armor, translucent clothing, attractive aesthetic, photorealistic, cinematic lighting, masterpiece, 8k.","A futuristic female cyborg standing in a neon-lit cyberpunk street, voxel art style, made of 3D blocks, combined with sexy style, highly detailed skin texture, sleek robotic joints, glowing armor, translucent clothing, masterpiece, 8k.","blurry, low_quality, distorted",7.5,0.8,-1401.9140625,,,,,30.716859817504883,7.830806255340576
41.png,"A futuristic female cyborg standing in a neon-lit cyberpunk street, voxel style, made of small 3D cubes, blocky geometric structures, digital cubic joints, block-based armor plates, pixelated aesthetic, 8-bit digital world, masterpiece, 8k.","A futuristic female cyborg standing in a neon-lit cyberpunk street, sexy style, highly detailed skin texture, sleek organic robotic joints, form-fitting glowing armor, translucent clothing, attractive aesthetic, photorealistic, cinematic lighting, masterpiece, 8k.","A futuristic female cyborg standing in a neon-lit cyberpunk street, voxel art style, made of 3D blocks, combined with sexy style, highly detailed skin texture, sleek robotic joints, glowing armor, translucent clothing, masterpiece, 8k.","blurry, low_quality, distorted",7.5,0.2,-1513.765625,,,,,35.38471221923828,7.324901580810547
42.png,"A futuristic female cyborg standing in a neon-lit cyberpunk street, voxel style, made of small 3D cubes, blocky geometric structures, digital cubic joints, block-based armor plates, pixelated aesthetic, 8-bit digital world, masterpiece, 8k.","A futuristic female cyborg standing in a neon-lit cyberpunk street, sexy style, highly detailed skin texture, sleek organic robotic joints, form-fitting glowing armor, translucent clothing, attractive aesthetic, photorealistic, cinematic lighting, masterpiece, 8k.","A futuristic female cyborg standing in a neon-lit cyberpunk street, voxel art style, made of 3D blocks, combined with sexy style, highly detailed skin texture, sleek robotic joints, glowing armor, translucent clothing, masterpiece, 8k.","blurry, low_quality, distorted",7.5,0.2,-1442.40625,,,,,28.098901748657227,8.046226501464844
43.png,"A futuristic female cyborg standing in a neon-lit cyberpunk street, voxel style, made of small 3D cubes, blocky geometric structures, digital cubic joints, block-based armor plates, pixelated aesthetic, 8-bit digital world, masterpiece, 8k.","A futuristic female cyborg standing in a neon-lit cyberpunk street, sexy style, highly detailed skin texture, sleek organic robotic joints, form-fitting glowing armor, translucent clothing, attractive aesthetic, photorealistic, cinematic lighting, masterpiece, 8k.","A futuristic female cyborg standing in a neon-lit cyberpunk street, voxel art style, made of 3D blocks, combined with sexy style, highly detailed skin texture, sleek robotic joints, glowing armor, translucent clothing, masterpiece, 8k.","blurry, low_quality, distorted",7.5,0.2,-1244.1953125,,,,,33.981842041015625,7.884936809539795
44.png,"A futuristic female cyborg standing in a neon-lit cyberpunk street, voxel style, made of small 3D cubes, blocky geometric structures, digital cubic joints, block-based armor plates, pixelated aesthetic, 8-bit digital world, masterpiece, 8k.","A futuristic female cyborg standing in a neon-lit cyberpunk street, sexy style, highly detailed skin texture, sleek organic robotic joints, form-fitting glowing armor, translucent clothing, attractive aesthetic, photorealistic, cinematic lighting, masterpiece, 8k.","A futuristic female cyborg standing in a neon-lit cyberpunk street, voxel art style, made of 3D blocks, combined with sexy style, highly detailed skin texture, sleek robotic joints, glowing armor, translucent clothing, masterpiece, 8k.","blurry, low_quality, distorted",7.5,0.2,-1567.0078125,,,,,29.600948333740234,7.749618053436279
45.png,"A futuristic female cyborg standing in a neon-lit cyberpunk street, voxel style, made of small 3D cubes, blocky geometric structures, digital cubic joints, block-based armor plates, pixelated aesthetic, 8-bit digital world, masterpiece, 8k.","A futuristic female cyborg standing in a neon-lit cyberpunk street, sexy style, highly detailed skin texture, sleek organic robotic joints, form-fitting glowing armor, translucent clothing, attractive aesthetic, photorealistic, cinematic lighting, masterpiece, 8k.","A futuristic female cyborg standing in a neon-lit cyberpunk street, voxel art style, made of 3D blocks, combined with sexy style, highly detailed skin texture, sleek robotic joints, glowing armor, translucent clothing, masterpiece, 8k.","blurry, low_quality, distorted",7.5,0.7,-1863.390625,,,,,29.012441635131836,8.009769439697266
46.png,"A futuristic female cyborg standing in a neon-lit cyberpunk street, voxel style, made of small 3D cubes, blocky geometric structures, digital cubic joints, block-based armor plates, pixelated aesthetic, 8-bit digital world, masterpiece, 8k.","A futuristic female cyborg standing in a neon-lit cyberpunk street, sexy style, highly detailed skin texture, sleek organic robotic joints, form-fitting glowing armor, translucent clothing, attractive aesthetic, photorealistic, cinematic lighting, masterpiece, 8k.","A futuristic female cyborg standing in a neon-lit cyberpunk street, voxel art style, made of 3D blocks, combined with sexy style, highly detailed skin texture, sleek robotic joints, glowing armor, translucent clothing, masterpiece, 8k.","blurry, low_quality, distorted",7.5,0.7,-1484.9453125,,,,,30.22104263305664,7.845445156097412
47.png,"A futuristic female cyborg standing in a neon-lit cyberpunk street, voxel style, made of small 3D cubes, blocky geometric structures, digital cubic joints, block-based armor plates, pixelated aesthetic, 8-bit digital world, masterpiece, 8k.","A futuristic female cyborg standing in a neon-lit cyberpunk street, sexy style, highly detailed skin texture, sleek organic robotic joints, form-fitting glowing armor, translucent clothing, attractive aesthetic, photorealistic, cinematic lighting, masterpiece, 8k.","A futuristic female cyborg standing in a neon-lit cyberpunk street, voxel art style, made of 3D blocks, combined with sexy style, highly detailed skin texture, sleek robotic joints, glowing armor, translucent clothing, masterpiece, 8k.","blurry, low_quality, distorted",7.5,0.7,-1683.15625,,,,,31.536787033081055,8.194940567016602
48.png,"A futuristic female cyborg standing in a neon-lit cyberpunk street, voxel style, made of small 3D cubes, blocky geometric structures, digital cubic joints, block-based armor plates, pixelated aesthetic, 8-bit digital world, masterpiece, 8k.","A futuristic female cyborg standing in a neon-lit cyberpunk street, sexy style, highly detailed skin texture, sleek organic robotic joints, form-fitting glowing armor, translucent clothing, attractive aesthetic, photorealistic, cinematic lighting, masterpiece, 8k.","A futuristic female cyborg standing in a neon-lit cyberpunk street, voxel art style, made of 3D blocks, combined with sexy style, highly detailed skin texture, sleek robotic joints, glowing armor, translucent clothing, masterpiece, 8k.","blurry, low_quality, distorted",7.5,0.7,-1450.203125,,,,,31.929039001464844,7.847527503967285
49.png,"A futuristic female cyborg standing in a neon-lit cyberpunk street, voxel style, made of small 3D cubes, blocky geometric structures, digital cubic joints, block-based armor plates, pixelated aesthetic, 8-bit digital world, masterpiece, 8k.","A futuristic female cyborg standing in a neon-lit cyberpunk street, sexy style, highly detailed skin texture, sleek organic robotic joints, form-fitting glowing armor, translucent clothing, attractive aesthetic, photorealistic, cinematic lighting, masterpiece, 8k.","A futuristic female cyborg standing in a neon-lit cyberpunk street, voxel art style, made of 3D blocks, combined with sexy style, highly detailed skin texture, sleek robotic joints, glowing armor, translucent clothing, masterpiece, 8k.","blurry, low_quality, distorted",7.5,0.7,-1764.6015625,,,,,30.524507522583008,7.963771343231201
50.png,"A futuristic female cyborg standing in a neon-lit cyberpunk street, voxel style, made of small 3D cubes, blocky geometric structures, digital cubic joints, block-based armor plates, pixelated aesthetic, 8-bit digital world, masterpiece, 8k.","A futuristic female cyborg standing in a neon-lit cyberpunk street, sexy style, highly detailed skin texture, sleek organic robotic joints, form-fitting glowing armor, translucent clothing, attractive aesthetic, photorealistic, cinematic lighting, masterpiece, 8k.","A futuristic female cyborg standing in a neon-lit cyberpunk street, voxel art style, made of 3D blocks, combined with sexy style, highly detailed skin texture, sleek robotic joints, glowing armor, translucent clothing, masterpiece, 8k.","blurry, low_quality, distorted",7.5,0.7,-1801.1171875,,,,,30.556058883666992,8.012612342834473
51.png,"A futuristic female cyborg standing in a neon-lit cyberpunk street, voxel style, made of small 3D cubes, blocky geometric structures, digital cubic joints, block-based armor plates, pixelated aesthetic, 8-bit digital world, masterpiece, 8k.","A futuristic female cyborg standing in a neon-lit cyberpunk street, sexy style, highly detailed skin texture, sleek organic robotic joints, form-fitting glowing armor, translucent clothing, attractive aesthetic, photorealistic, cinematic lighting, masterpiece, 8k.","A futuristic female cyborg standing in a neon-lit cyberpunk street, voxel art style, made of 3D blocks, combined with sexy style, highly detailed skin texture, sleek robotic joints, glowing armor, translucent clothing, masterpiece, 8k.","blurry, low_quality, distorted",7.5,0.7,-1911.0078125,,,,,30.235130310058594,8.463737487792969
52.png,"A futuristic female cyborg standing in a neon-lit cyberpunk street, voxel style, made of small 3D cubes, blocky geometric structures, digital cubic joints, block-based armor plates, pixelated aesthetic, 8-bit digital world, masterpiece, 8k.","A futuristic female cyborg standing in a neon-lit cyberpunk street, sexy style, highly detailed skin texture, sleek organic robotic joints, form-fitting glowing armor, translucent clothing, attractive aesthetic, photorealistic, cinematic lighting, masterpiece, 8k.","A futuristic female cyborg standing in a neon-lit cyberpunk street, voxel art style, made of 3D blocks, combined with sexy style, highly detailed skin texture, sleek robotic joints, glowing armor, translucent clothing, masterpiece, 8k.","blurry, low_quality, distorted",7.5,0.7,-1876.2109375,,,,,28.037729263305664,7.836234092712402
